"ID","Symbol","Market","Name","MainSector","Sector","Industry","ListingDate","HomePage"
1225,"224760","KONEX","엔에스컴퍼니","NULL","토목 건설업","산업플랜트 건설 및 경상정비, 자동차부품제조판매","2015-07-31","http://www.nscompany.co.kr"
1226,"311060","KONEX","엘에이티","NULL","특수 목적용 기계 제조업","In-Line Sputter, OLED 패널 청정물류 이송 장비 등","2018-12-28","http://www.latplasma.com"
1227,"084440","KONEX","유비온","NULL","기타 정보 서비스업","이러닝(E-Learning)","2014-01-21","http://ubion.co.kr"
1228,"341310","KONEX","이앤에치","NULL","기타 섬유제품 제조업","미세먼지용 HEPA 소재, 차량용 캐빈필터소재, 마스크용 소재","2019-12-27","http://www.i-enh.com"
1229,"135160","KONEX","지오씨","NULL","절연선 및 케이블 제조업","옥내외용케이블","2015-12-28","http://www.glights.com"
1230,"006840","KOSPI","AK홀딩스","소재","기타 금융업","지주사업","1999-08-11","http://www.aekyunggroup.co.kr"
1231,"001040","KOSPI","CJ","산업재","기타 금융업","지주회사","1973-06-29","http://www.cj.net"
1232,"011150","KOSPI","CJ씨푸드","필수소비재","기타 식품 제조업","수산물(어묵,맛살)가공품 도매,원양수산업,수출입","1988-11-26","http://www.cjseafood.net"
1233,"016610","KOSPI","DB금융투자","금융","금융 지원 서비스업","유가증권,위탁매매,인수,자기매매","1988-06-27","http://db-fi.com"
1234,"139130","KOSPI","DGB금융지주","금융","기타 금융업","지주회사","2011-06-07","http://www.dgbfg.co.kr"
1235,"012630","KOSPI","HDC","산업재","기타 금융업","토목공사,건축공사,아파트분양사업,재개발/재건축사업","1996-10-16","http://www.i-park.com"
1236,"001940","KOSPI","KISCO홀딩스","소재","1차 철강 제조업","지주사업","1989-11-13","http://www.kiscoholdings.co.kr"
1237,"030210","KOSPI","KTB투자증권","금융","금융 지원 서비스업","금융업, 서비스, 부동산","1996-11-19","http://www.ktb.co.kr"
1238,"034220","KOSPI","LG디스플레이","IT","전자부품 제조업","액정표시장치(TFT-LCD) 제조","2004-07-23","http://www.lgdisplay.com"
1239,"001120","KOSPI","LX인터내셔널","산업재","상품 중개업","전자,기계,화공,유류.금속,의류 수출입,도소매","1976-01-30","http://www.lxinternational.co.kr"
1240,"338100","KOSPI","NH프라임리츠","금융","부동산 임대 및 공급업","부동산 투자","2019-12-05","http://www.nhreits.com"
1241,"010950","KOSPI","S-Oil","에너지","석유 정제품 제조업","석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매","1987-05-27","http://www.s-oil.com"
1242,"302440","KOSPI","SK바이오사이언스","건강관리","기초 의약물질 및 생물학적 제제 제조업","백신 제품 및 제제","2021-03-18","http://www.skbioscience.com"
1243,"285130","KOSPI","SK케미칼","소재","합성고무 및 플라스틱 물질 제조업","PETG 수지, PET 수지, 바이오디젤, 백신","2018-01-05","http://www.skchemicals.com"
1244,"000660","KOSPI","SK하이닉스","IT","반도체 제조업","반도체,컴퓨터,통신기기 제조,도매","1996-12-26","http://www.skhynix.com"
1245,"064960","KOSPI","SNT모티브","경기관련소비재","자동차 신품 부품 제조업","자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매","2002-03-11","http://www.sntdaewoo.com"
1246,"013580","KOSPI","계룡건설산업","산업재","토목 건설업","건축공사,주택공사,토목공사,포장공사,전기공사","1996-01-30","http://www.krcon.co.kr"
1247,"010130","KOSPI","고려아연","소재","1차 비철금속 제조업","연,아연괴 제조,판매","1990-07-28","http://www.koreazinc.co.kr"
1248,"000270","KOSPI","기아","경기관련소비재","자동차용 엔진 및 자동차 제조업","승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비","1973-07-21","http://www.kia.co.kr"
1249,"003920","KOSPI","남양유업","필수소비재","낙농제품 및 식용빙과류 제조업","시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매","1978-06-24","http://www.namyangi.com"
1250,"025860","KOSPI","남해화학","소재","비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매","1995-11-10","http://www.nhchem.co.kr"
1251,"090350","KOSPI","노루페인트","산업재","기타 화학제품 제조업","페인트 제조","2006-07-03","nan"
1252,"006280","KOSPI","녹십자","건강관리","의약품 제조업","알부민외 제조,판매","1989-08-01","http://www.greencross.com"
1253,"001680","KOSPI","대상","필수소비재","기타 식품 제조업","전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사","1970-04-01","http://www.daesang.co.kr"
1254,"117580","KOSPI","대성에너지","유틸리티","연료용 가스 제조 및 배관공급업","천연가스","2010-12-24","http://www.taegugas.co.kr"
1255,"016710","KOSPI","대성홀딩스","유틸리티","회사 본부 및 경영 컨설팅 서비스업","도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대","1999-12-22","http://www.taegugas.co.kr"
1256,"084010","KOSPI","대한제강","소재","1차 철강 제조업","제강,철재,철근,환봉,마환봉,빌레트 제조","2005-10-31","http://www.idaehan.com"
1257,"012510","KOSPI","더존비즈온","IT","컴퓨터 프로그래밍, 시스템 통합 및 관리업","응용 소프트웨어 개발 및 공급업","1988-10-28","http://www.douzone.com"
1258,"336260","KOSPI","두산퓨얼셀","IT","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","연료전지","2019-10-18","http://www.doosanfuelcell.com"
1259,"023530","KOSPI","롯데쇼핑","경기관련소비재","종합 소매업","백화점(의류,식품 및 잡화),할인점 운영/전자상거래","2006-02-09","http://www.lotteshoppingir.com/"
1260,"071840","KOSPI","롯데하이마트","경기관련소비재","가전제품 및 정보통신장비 소매업","가전제품,잡화 도소매/부동산 임대","2011-06-29","http://company.himart.co.kr"
1261,"001080","KOSPI","만호제강","소재","1차 철강 제조업","와이어로프,합성섬유로프,특수강선 제조,수출,임대","1977-06-18","http://www.manhorope.com"
1262,"005360","KOSPI","모나미","경기관련소비재","생활용품 도매업","BP153(BALL POINT PEN), P-3000(PLUS PEN), 유성매직, 보드마카, 네임펜, PARKER, WARTERMAN, 색연필","1974-06-26","http://www.monami.com"
1263,"008420","KOSPI","문배철강","소재","1차 철강 제조업","철강재중 판재류(후판,박판,무늬강판) 제조,도매","1994-11-05","http://www.moonbaesteel.co.kr"
1264,"085620","KOSPI","미래에셋생명","금융","보험업","생명보험상품","2015-07-08","http://life.miraeasset.com"
1265,"006800","KOSPI","미래에셋증권","금융","금융 지원 서비스업","유가증권매매,유가증권위탁매매,유가증권인수","1975-09-30","http://securities.miraeasset.com"
1266,"003650","KOSPI","미창석유공업","에너지","석유 정제품 제조업","윤활유,고무배합유,전기절연유 제조,판매,수출입","1989-09-27","http://www.michang.co.kr"
1267,"001340","KOSPI","백광산업","소재","기초 화학물질 제조업","가성소다,합성염산 제조,판매","1976-06-10","http://www.pkic.co.kr"
1268,"007210","KOSPI","벽산","산업재","기타 비금속 광물제품 제조업","단열재, 천장재, 외장재, 내장재, 외단열, 바닥재 등","1972-01-04","http://www.byucksan.com"
1269,"003000","KOSPI","부광약품","건강관리","의약품 제조업","의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조","1988-08-05","http://www.bukwang.co.kr"
1270,"026940","KOSPI","부국철강","소재","1차 철강 제조업","철강","2008-10-14","http://www.bks.co.kr"
1271,"002070","KOSPI","비비안","경기관련소비재","봉제의복 제조업","여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대","1976-07-13","http://www.namyeung.co.kr"
1272,"100220","KOSPI","비상교육","경기관련소비재","서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급","2008-06-30","http://www.visang.com"
1273,"006660","KOSPI","삼성공조","경기관련소비재","자동차 신품 부품 제조업","자동차부품(라디에터,오일쿨러,인터쿨러) 제조,판매","1987-11-28","http://www.samsungcc.co.kr"
1274,"032830","KOSPI","삼성생명","금융","보험업","생명보험,부동산 임대","2010-05-12","http://www.samsunglife.com"
1275,"009150","KOSPI","삼성전기","IT","전자부품 제조업","영상,음향,통신장비,모듈,다층인쇄회로기판,적층세라믹콘덴서,고주파필터,전압제어발진기,온도보상형수정발진기,칩인덕터,디지털위성방송수신기,광픽업,편향코일","1979-02-27","http://www.sem.samsung.co.kr"
1276,"272550","KOSPI","삼양패키징","소재","플라스틱제품 제조업","PET 용기 및 아셉틱 OEM","2017-11-29","http://www.samyangpackaging.co.kr/"
1277,"004440","KOSPI","삼일씨엔에스","산업재","시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작","2016-03-30","http://www.daelimcns.co.kr"
1278,"009470","KOSPI","삼화전기","IT","전자부품 제조업","콘덴서 제조,판매","1986-11-24","http://www.samwha.co.kr"
1279,"000390","KOSPI","삼화페인트공업","산업재","기타 화학제품 제조업","건축용페인트,공업용페인트,분체도료 등 제조","1993-09-10","http://www.samhwa.com"
1280,"007540","KOSPI","샘표","필수소비재","기타 금융업","간장,된장,고추장 제조,가공,판매,무역","1976-06-29","http://www.sempio.com"
1281,"008490","KOSPI","서흥","건강관리","기타 화학제품 제조업","의약품(하드캅셀,건강보조식품,소프트캅셀),건강보조식품,인삼제품 제조,판매","1990-03-27","http://www.suheung.com"
1282,"011300","KOSPI","성안","경기관련소비재","직물직조 및 직물제품 제조업","제직,염색,폴리에스터직물,자수직물봉제 제조,판매/임대료,관리비 수입","1995-11-10","http://www.startex.co.kr"
1283,"027970","KOSPI","세하","소재","펄프, 종이 및 판지 제조업","백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사","1996-07-03","http://www.seha.co.kr"
1284,"004970","KOSPI","신라교역","필수소비재","어로 어업","원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출","1976-06-30","http://www.sla.co.kr"
1285,"034300","KOSPI","신세계건설","산업재","건물 건설업","토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역","2002-06-17","http://httpswww.shinsegae-enc.com"
1286,"005800","KOSPI","신영와코루","경기관련소비재","봉제의복 제조업","여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조","1976-12-28","http://www.shinyoungwacoal.co.kr/"
1287,"001720","KOSPI","신영증권","금융","금융 지원 서비스업","증권업","1987-08-24","http://www.shinyoung.com"
1288,"009270","KOSPI","신원","경기관련소비재","봉제의복 제조업","여성,남성의류,스웨터,의복관련 악세사리,사카린,망초 제조,판매,수출입/섬유의류 도매/신용카드업/의류전문 물류대행 및 임대사업","1988-08-24","http://www.sw.co.kr"
1289,"002870","KOSPI","신풍제지","소재","펄프, 종이 및 판지 제조업","마닐라판지 제조,도소매","1976-06-30","http://www.shinpoongpaper.com"
1290,"183190","KOSPI","아세아시멘트","산업재","시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈","2013-11-06","http://www.asiacement.co.kr"
1291,"267850","KOSPI","아시아나IDT","IT","컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션","2018-11-23","http://www.asianaidt.com"
1292,"005850","KOSPI","에스엘","경기관련소비재","자동차 신품 부품 제조업","자동차부품(자동차램프류,샤시와조향기기,케스터홀더) 제조","1988-11-08","http://www.slworld.com"
1293,"298690","KOSPI","에어부산","산업재","항공 여객 운송업","항공 여객 및 화물 운송","2018-12-27","http://www.airbusan.com"
1294,"900140","KOSPI","엘브이엠씨","경기관련소비재","자동차 판매업","지주회사","2010-11-30","http://www.lvmcholdings.net"
1295,"316140","KOSPI","우리금융지주","금융","기타 금융업","금융지주","2019-02-13","http://www.woorifg.com/"
1296,"010600","KOSPI","웰바이오텍","필수소비재","상품 중개업","피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조","1997-07-18","http://www.wellbiotec.co.kr"
1297,"000910","KOSPI","유니온","산업재","시멘트, 석회, 플라스터 및 그 제품 제조업","백시멘트,타일시멘트,알루미나시멘트,용융알루미나,급결제,필터프레스,유니필터제조,도매","1996-07-03","http://www.unioncement.com"
