,code
862,372910
863,885
864,00088K
865,880
866,88350
867,370
868,9835
869,9830
870,272210
871,12450
872,3535
873,3530
874,195870
875,101530
876,143210
877,725
878,267270
879,720
880,5440
881,86280
882,42670
883,64350
884,79430
885,12330
886,10620
887,69960
888,4565
889,4560
890,4310
891,322000
892,17800
893,307950
894,11210
895,267260
896,5385
897,5387
898,5389
899,5380
900,4020
901,329180
902,267250
903,1500
904,11760
905,227840
906,126560
907,1450
908,57050
909,93240
910,3010
911,111110
912,8775
913,8770
914,2460
915,378850
916,241590
917,6060
918,13520
919,10690
920,133820
921,10660
922,850
923,16580
924,32560
925,4800
926,94280
927,298040
928,298050
929,298020
930,298000
931,93370
932,81660
933,5870
934,79980
935,5010
936,69260
937,545
938,547
939,540
940,3280
